id,title,author,year,publisher
0440234743,The Testament,John Grisham,1990,Dell
0971880107,Wild Animus,Rich Shapero,2000,Too Far
0425182908,Isle of Dogs,Patricia Cornwell,2000,Berkley Publishing Group
042518630X,Purity in Death,J.D. Robb,2000,Berkley Publishing Group
0804106304,The Joy Luck Club,Amy Tan,1990,Prentice Hall (K-12)
0441783589,Starship Troopers,Robert A. Heinlein,1980,Ace Books
0316769487,The Catcher in the Rye,J.D. Salinger,1990,Little Brown
0380717018,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1990,Avon
0380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1990,Avon
0385509456,The Curious Incident of the Dog in the Night-Time : A Novel,MARK HADDON,2000,Doubleday
0446610399,The Rescue,Nicholas Sparks,2000,Warner Books
0451526341,Animal Farm,George Orwell,2000,Signet
0142001740,The Secret Life of Bees,Sue Monk Kidd,2000,Penguin Books
006101351X,The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,1990,HarperTorch
0316666343,The Lovely Bones: A Novel,Alice Sebold,2000,Little Brown
0451410556,The Blue Last: A Richard Jury Mystery (Richard Jury Mysteries (Paperback)),Martha Grimes,2000,Onyx Books
0380710218,Postmortem,Patricia Daniels Cornwell,1990,Harper Mass Market Paperbacks (Mm)
0385721420,Three Junes,JULIA GLASS,2000,Anchor
0345369947,The Mummy or Ramses the Damned,Anne Rice,1990,Ballantine Books
0061009059,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1990,HarperTorch
0446672211,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1990,Warner Books
0679450440,Protect and Defend,Richard North Patterson,2000,Random House Inc
0140253580,Therapy,David Lodge,1990,Penguin Putnam~trade
0140622063,Scottish Folk and Fairy Tales (Penguin Popular Classics),Gordon Jarvie,1990,Penguin Books Ltd
0316776963,Me Talk Pretty One Day,David Sedaris,2000,Back Bay Books
0380788497,Changer,Jane Lindskold,1990,Eos
0425166619,Toxin,Robin Cook,1990,Berkley Publishing Group
034538184X,Degree of Guilt,Richard North Patterson,1990,Ballantine Books
0140620125,Wuthering Heights (Penguin Popular Classics),Emily Bronte,1990,Penguin Books Ltd
0060928336,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1990,Perennial
0316777730,Naked,David Sedaris,1990,Back Bay Books
0446601241,Kiss the Girls,James Patterson,1990,Warner Books
0684819066,"A Beautiful Mind : A Biography of John Forbes Nash, Jr.",Sylvia Nasar,1990,Simon &amp Schuster
0440206154,Red Dragon,Thomas Harris,2000,Dell Publishing Company
0345370775,Jurassic Park,Michael Crichton,1990,Ballantine Books
0312169787,The Red Tent : A Novel,Anita Diamant,1990,St Martin's Press
0140620338,Picture of Dorian Gray,Oscar Wilde,0,Penguin Putnam~mass
0385498721,Survivor : A Novel,CHUCK PALAHNIUK,2000,Anchor
0380813815,"Lamb : The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,2000,Perennial
0142000663,The Grapes of Wrath: John Steinbeck Centennial Edition (1902-2002),John Steinbeck,2000,Penguin Books
037570504X,"Breath, Eyes, Memory",Edwidge Danticat,1990,Vintage Books USA
1558744606,Chicken Soup for the Mother's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1990,Health Communications
0345325818,The Silmarillion,J.R.R. TOLKIEN,1980,Del Rey
0671793489,All Around the Town,Mary Higgins Clark,1990,Pocket Star
0446673544,Sex &amp; the City,Candace Bushnell,1990,Warner Books
0671689231,Little Girl Lost,Drew Barrymore,1990,Pocket
0446310492,To Kill a Mockingbird,Harper Lee,1980,Warner Books
0140140352,Haroun and the Sea of Stories,Salman Rushdie,1990,Penguin Putnam~trade
0449207463,Superior Women,Alice Adams,1990,Fawcett Books
0515120006,Holding the Dream (Dream Trilogy),Nora Roberts,2000,Jove Books
0385486804,Into the Wild,Jon Krakauer,1990,Anchor
0676974562,Atonement,Ian McEwan,2000,Random House
0425169863,Point of Origin,Patricia Daniels Cornwell,1990,Berkley Publishing Group
0446610038,1st to Die: A Novel,James Patterson,2000,Warner Vision
0805019375,L Is for Lawless (Kinsey Millhone Mysteries),Sue Grafton,1990,Henry Holt &amp Company
067976402X,Snow Falling on Cedars,David Guterson,1990,Vintage Books USA
0425167313,Here on Earth,Alice Hoffman,1990,Berkley Publishing Group
0156787334,A Room of One's Own,Virginia Woolf,1980,Harcourt
0425115801,Lightning,Dean R. Koontz,1990,Berkley Publishing Group
0451151259,Eyes of the Dragon,Stephen King,1980,Penguin Putnam~mass
059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1990,Arthur A Levine Books
0345342968,Fahrenheit 451,RAY BRADBURY,1980,Del Rey
0812550706,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1990,Tor Books
0345422384,Pandora: New Tales of the Vampires (New Tales of the Vampires),Anne Rice,1990,Ballantine Books
0385029551,Confessions of Saint Augustine (Image Book),St. Augustine,1960,Image
0385484518,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,1990,Doubleday
0316779490,Naked,David Sedaris,1990,Little Brown &amp Co
0671511424,DEVIL IN A BLUE DRESS (Easy Rawlins Mysteries (Paperback)),Walter Mosley,1990,Pocket
0425133540,The Sum of All Fears (Jack Ryan Novels),Tom Clancy,1990,Berkley Publishing Group
0394830148,The Berenstain Bears and Too Much Vacation (First Time Books),Stan Berenstain,1980,Random House Children's Books
0060175532,Young Wives,Olivia Goldsmith,2000,HarperCollins Publishers
0425175405,Black Notice,Patricia Daniels Cornwell,2000,Berkley Publishing Group
8585622032,Bola da vez: Romance policial (ColeÃ§Ã£o Romance policial brasileiro),Muniz SodrÃ©,1990,Notrya Editora
8570070063,A corrente de Trewis Scott,Roberto Schneider,1980,NÃ³rdica
8532501192,As valkÃ­rias,Paulo Coelho,1990,Rocco
0449221482,J Is for Judgment,Sue Grafton,1990,Fawcett Books
0553279912,A Is for Alibi (Kinsey Millhone Mysteries (Paperback)),SUE GRAFTON,1980,Bantam
0345353145,Sphere,MICHAEL CRICHTON,1980,Ballantine Books
0060955775,Veronika Decides to Die,Paulo Coelho,2000,Perennial
0515120618,Montana Sky,Nora Roberts,2000,Jove Books
0515130389,Carolina Moon,Nora Roberts,2000,Jove Books
0061056774,The X-Files: Ground Zero,Kevin J. Anderson,1990,HarperEntertainment
0618002219,The Hobbit: or There and Back Again,J.R.R. Tolkien,1990,Houghton Mifflin Company
0553576399,Distraction: A Novel,Bruce Sterling,1990,Spectra Books
0446611212,Violets Are Blue,James Patterson,2000,Warner Vision
0380718340,Cruel &amp; Unusual (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1990,Avon
034539657X,Dark Rivers of the Heart,Dean R. Koontz,1990,Ballantine Books
0679722319,Where I'm Calling from: New and Selected Stories (Vintage Contemporaries),Raymond Carver,1980,Vintage Books USA
0679746048,"Girl, Interrupted",SUSANNA KAYSEN,1990,Vintage
0880381736,"Dragons of Autumn Twilight (Dragonlance Chronicles, Vol 1)",Margaret Weis,1990,TSR
0440204887,Illusions: The Adventures of a Reluctant Messiah,Richard Bach,1990,Dell Publishing Company
1558744630,Chicken Soup for the Teenage Soul (Chicken Soup for the Soul),Jack Canfield,1990,Health Communications
0553294385,"I, Robot",ISAAC ASIMOV,1990,Spectra
0553563521,Devil's Waltz (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1990,Bantam Books
055357230X,The Clinic (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1990,Bantam Books
0671004107,Contact,Carl Sagan,1990,Pocket
0553291890,More Than One Universe,Arthur C. Clarke,1990,Spectra Books
0586213333,Indigo 1: Nemesis (Indigo Series),Louise Cooper,1990,HarperCollins Publishers
0679459596,Billy Straight: A Novel,Jonathan Kellerman,1990,Random House Trade
0140296409,Disgrace,J. M. Coetzee,2000,Penguin Books
0671892479,Step-By-Step Tai Chi,Master Lam Kam-Chuen,1990,Fireside
0446359866,Presumed Innocent,Scott Turow,1980,Warner Books
0446612790,2nd Chance,James Patterson,2000,Warner Vision
0445406488,The Curse of the Pharaohs,Elizabeth Peters,1980,Warner Books
0345347951,Childhood's End,Arthur C. Clarke,1980,Del Rey Books
0671867172,The Lottery Winner : Alvirah And Willy Stories,Mary Higgins Clark,1990,Pocket
0836204387,The Calvin and Hobbes Tenth Anniversary Book,Bill Watterson,1990,Andrews McMeel Publishing
081296683X,Girls' Poker Night: A Novel,Jill Davis,2000,Random House Trade
0449221504,K Is for Killer (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1990,Fawcett Books
0671034006,Heartbreaker,Julie Garwood,2000,Pocket
0882893327,The Voodoo Queen: A Novel (Pelican Pouch Series),Robert Tallant,1980,Pelican Publishing Company
0345334531,Feast of All Saints,Anne Rice,1980,Ballantine Books
0671516922,Trust Me,Jayne Ann Krentz,1990,Pocket
0449209598,Murder in the Smithsonian (Capital Crime Mysteries),Margaret Truman,1990,Fawcett Books
0373483880,The Macgregors: Serena - Caine (The Macgregors),Nora Roberts,1990,Silhouette
0440208459,Burn Marks (V.I. Warshawski Novels (Paperback)),Sara Paretsky,1990,Dell
0312951426,The Ice House,Minette Walters,1990,St Martin's Press
